OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2026-06-12T17:54:35.976672,14.27022025,.0009473,98.8636,237.2113,264.3937,95.6163,0,U,25730,999,39732,.63617E-3,.1503E-4,0
FENGYUN 1C DEB,1999-025X,2026-06-12T21:22:52.120128,12.96811925,.0569412,99.2062,197.2052,141.2181,30.8864,0,U,29733,999,91480,.20657E-2,.1224E-4,0
FENGYUN 1C DEB,1999-025Y,2026-06-11T16:13:26.004288,12.91914094,.06119694,99.1702,68.0552,317.2832,104.1372,0,U,29734,999,90884,.14067661E-2,.84E-5,0
FENGYUN 1C DEB,1999-025Z,2026-06-11T05:34:04.450080,12.75675172,.0699316,99.3887,52.1751,134.6374,231.3971,0,U,29735,999,89716,.30431E-2,.1775E-4,0
FENGYUN 1C DEB,1999-025AA,2026-06-09T00:15:20.330208,12.57750445,.072724,99.4281,310.4551,175.7435,315.7237,0,U,29736,999,88785,.18352879E-2,.815E-5,0
FENGYUN 1C DEB,1999-025AB,2026-06-12T18:40:12.307008,12.66186919,.070001,99.5809,93.9707,103.9840,320.1813,0,U,29737,999,89172,.41545E-2,.2039E-4,0
FENGYUN 1C DEB,1999-025AC,2026-06-12T02:40:02.318016,12.62151236,.08519039,99.4128,302.2846,259.9621,90.4398,0,U,29738,999,88504,.39543609E-2,.2912E-4,0
FENGYUN 1C DEB,1999-025AE,2026-06-10T05:45:48.616128,12.08631963,.0977168,99.0515,326.7133,200.0471,155.9541,0,U,29740,999,85103,.1951E-2,.735E-5,0
FENGYUN 1C DEB,1999-025AF,2026-06-11T18:31:16.056768,12.01561852,.10270413,99.1813,350.8022,68.4416,358.4656,0,U,29741,999,54357,.20264606E-2,.79E-5,0
FENGYUN 1C DEB,1999-025AN,2026-06-09T15:24:46.391040,11.93286322,.0840863,99.9286,50.5955,39.8390,326.1401,0,U,29748,999,80863,.69194335E-1,.14073E-3,0
FENGYUN 1C DEB,1999-025AQ,2026-06-12T00:56:31.135200,14.09806361,.00368059,98.7330,192.0071,146.2161,268.7968,0,U,29750,999,99628,.17464154E-3,.266E-5,0
FENGYUN 1C DEB,1999-025AR,2026-06-12T01:29:51.373824,14.23775659,.00882816,98.5206,190.5490,332.0741,84.8934,0,U,29751,999,652,.11317286E-3,.226E-5,0
FENGYUN 1C DEB,1999-025AU,2026-06-11T13:49:32.341728,14.19802886,.0036667,98.8898,270.8742,84.5729,291.3106,0,U,29754,999,99920,.64697E-3,.1335E-4,0
FENGYUN 1C DEB,1999-025AY,2026-06-12T21:01:15.249216,14.43884978,.0022824,98.8623,291.5708,133.1438,351.4113,0,U,29758,999,298,.21138E-2,.719E-4,0
FENGYUN 1C DEB,1999-025BA,2026-06-12T18:46:36.939072,14.08422261,.0130995,98.7643,165.8421,20.7174,339.9237,0,U,29760,999,99655,.20714E-3,.341E-5,0
FENGYUN 1C DEB,1999-025BC,2026-06-12T20:44:12.808032,14.22852030,.0203874,98.5971,147.2852,165.6882,264.2545,0,U,29762,999,533,.1426E-3,.351E-5,0
FENGYUN 1C DEB,1999-025BD,2026-06-12T21:05:38.730336,14.08028085,.0127973,98.7805,143.2070,27.8423,29.5939,0,U,29763,999,99613,.24723E-3,.411E-5,0
FENGYUN 1C DEB,1999-025BF,2026-06-12T19:43:05.801952,14.02187278,.0057717,98.8151,181.2081,305.7139,235.8093,0,U,29765,999,99302,-.46956E-4,-.116E-5,0
FENGYUN 1C DEB,1999-025BG,2026-06-12T19:34:50.474208,13.97682603,.0145721,98.6984,108.7297,141.3152,275.9367,0,U,29766,999,98347,.54824E-3,.807E-5,0
FENGYUN 1C DEB,1999-025BH,2026-06-12T20:43:04.336032,14.05114214,.0323697,98.2113,120.4443,261.7805,153.5033,0,U,29767,999,98156,.89462E-3,.2267E-4,0
FENGYUN 1C DEB,1999-025BK,2026-06-08T03:10:23.000160,14.14398052,.00906324,99.0902,224.5697,351.1132,8.8432,0,U,29769,999,99188,.10544472E-2,.2053E-4,0
FENGYUN 1C DEB,1999-025BL,2026-06-09T23:24:20.101824,14.21226406,.00644542,98.8350,241.5549,119.1585,54.8745,0,U,29770,999,99631,.13199875E-2,.2891E-4,0
FENGYUN 1C DEB,1999-025BN,2026-06-11T02:30:07.456608,14.03819760,.01374064,98.3770,2.3751,138.6710,347.9966,0,U,29772,999,98785,.5579032E-3,.918E-5,0
FENGYUN 1C DEB,1999-025BP,2026-06-12T05:59:29.450688,14.27929869,.00483992,99.0104,327.2581,125.2244,52.4982,0,U,29773,999,786,.20936327E-3,.478E-5,0
FENGYUN 1C DEB,1999-025BQ,2026-06-12T20:45:03.777984,14.22899322,.0049704,99.0969,114.9103,324.0097,96.5661,0,U,29774,999,666,.13183E-3,.252E-5,0
FENGYUN 1C DEB,1999-025BS,2026-06-12T01:17:18.716640,14.07876167,.00248923,98.7508,189.4458,118.5315,296.7729,0,U,29776,999,99631,.3973369E-4,.25E-6,0
FENGYUN 1C DEB,1999-025BT,2026-06-12T03:31:00.598944,13.92171416,.00939461,99.2552,224.9665,79.8934,346.0733,0,U,29777,999,98565,.7894512E-5,-.34E-6,0
FENGYUN 1C DEB,1999-025BV,2026-06-12T07:13:54.701184,14.13617371,.0063238,98.6705,174.1084,8.3445,351.8765,0,U,29779,999,99977,.19215215E-3,.327E-5,0
FENGYUN 1C DEB,1999-025BW,2026-06-11T13:50:58.352928,14.22338695,.0042104,99.2815,97.7696,342.0263,17.9422,0,U,29780,999,99648,.12384E-2,.2731E-4,0
FENGYUN 1C DEB,1999-025BX,2026-06-12T06:22:56.866080,14.05619687,.00726709,98.8187,157.4548,25.9272,350.1165,0,U,29781,999,99193,.58510825E-3,.933E-5,0
FENGYUN 1C DEB,1999-025BY,2026-06-12T18:28:49.969056,14.12449683,.0054529,99.0848,224.8947,54.3585,62.3851,0,U,29782,999,99240,.98176E-3,.1792E-4,0
FENGYUN 1C DEB,1999-025CA,2026-06-12T19:01:46.025184,14.31045404,.0060342,98.9513,92.9034,125.5343,289.8920,0,U,29784,999,960,.33583E-3,.856E-5,0
FENGYUN 1C DEB,1999-025CC,2026-06-11T23:38:55.853952,14.09197062,.00784783,98.7235,179.6290,149.2388,269.2409,0,U,29786,999,99713,.19982074E-3,.315E-5,0
FENGYUN 1C DEB,1999-025CE,2026-06-12T19:11:49.860096,14.27271256,.0040192,98.7713,240.9013,23.4898,95.4265,0,U,29788,999,99951,.10934E-2,.2653E-4,0
FENGYUN 1C DEB,1999-025CF,2026-06-11T05:17:08.368800,13.54753602,.0296808,99.4608,342.5209,182.6846,236.2598,0,U,29789,999,95431,.14103E-2,.124E-4,0
FENGYUN 1C DEB,1999-025CG,2026-06-12T19:51:32.761728,14.32599715,.0076397,99.1501,172.8896,9.8186,350.4468,0,U,29790,999,1133,.25131E-3,.656E-5,0
FENGYUN 1C DEB,1999-025CH,2026-06-12T20:07:48.336096,14.60786649,.0037661,99.0296,185.5097,225.1945,308.5897,0,U,29791,999,1502,.10482E-2,.5114E-4,0
FENGYUN 1C DEB,1999-025CJ,2026-06-12T02:31:13.553472,14.15942730,.00474627,98.7386,215.3073,234.0148,125.6621,0,U,29792,999,99505,.70385846E-3,.1358E-4,0
FENGYUN 1C DEB,1999-025CK,2026-06-09T17:34:44.364288,14.01762952,.01418938,98.3688,329.6478,192.6354,186.3307,0,U,29793,999,98656,.82577256E-3,.133E-4,0
FENGYUN 1C DEB,1999-025CL,2026-06-12T04:35:05.002368,14.09479741,.01549384,98.2220,310.9356,238.7449,299.5052,0,U,29794,999,99403,.49448941E-3,.926E-5,0
FENGYUN 1C DEB,1999-025CM,2026-06-10T14:22:00.125184,13.92994308,.01126164,98.8946,288.7269,142.8675,237.9511,0,U,29795,999,98569,.53766642E-4,.32E-6,0
FENGYUN 1C DEB,1999-025CN,2026-06-11T17:44:44.808864,14.12790608,.00538277,98.8434,217.4923,115.4824,11.8827,0,U,29796,999,99616,.57548742E-3,.104E-4,0
FENGYUN 1C DEB,1999-025CQ,2026-06-12T19:02:33.102816,14.00314138,.0108731,99.2874,235.4897,135.8823,347.2100,0,U,29798,999,98472,.15693E-2,.2399E-4,0
FENGYUN 1C DEB,1999-025CS,2026-06-12T06:41:56.444928,13.99598659,.01337534,98.2778,172.6568,77.0791,295.8064,0,U,29800,999,98115,.12420429E-2,.1923E-4,0
FENGYUN 1C DEB,1999-025CT,2026-06-12T07:45:04.968288,14.36079479,.01047979,98.7857,72.9405,91.4450,27.5253,0,U,29801,999,1546,.13250938E-3,.363E-5,0
FENGYUN 1C DEB,1999-025CU,2026-06-12T20:22:56.748288,14.67959420,.0035174,98.6272,286.8002,133.8521,348.0197,0,U,29802,999,1138,.25341E-2,.14619E-3,0
FENGYUN 1C DEB,1999-025CW,2026-06-12T19:10:04.039968,14.04368950,.0098564,98.8013,171.4989,151.1156,21.6549,0,U,29804,999,99449,-.96494E-4,-.202E-5,0
FENGYUN 1C DEB,1999-025CX,2026-06-12T02:45:15.542208,13.72717098,.01893611,99.4259,216.8126,117.5531,244.4996,0,U,29805,999,97191,.10800016E-3,.7E-6,0
FENGYUN 1C DEB,1999-025CY,2026-06-11T15:14:00.002400,14.12347188,.0030112,98.7018,178.2797,98.0099,25.3373,0,U,29806,999,99692,.39198639E-3,.683E-5,0
FENGYUN 1C DEB,1999-025CZ,2026-06-12T19:43:52.922784,14.08814236,.0079871,98.7545,168.2401,176.0784,184.1029,0,U,29807,999,99658,.13675E-3,.201E-5,0
FENGYUN 1C DEB,1999-025DB,2026-06-12T21:10:14.418048,14.46979053,.0115732,98.8823,141.0800,163.2118,256.4234,0,U,29809,999,2101,.14386E-3,.515E-5,0
FENGYUN 1C DEB,1999-025DC,2026-06-12T02:24:01.810944,14.29384029,.00658082,99.1802,214.7927,214.5153,200.3173,0,U,29810,999,965,.18794336E-3,.441E-5,0
FENGYUN 1C DEB,1999-025DE,2026-06-09T11:14:12.355584,14.02655272,.01431199,98.3563,339.5779,181.5760,235.8565,0,U,29812,999,98677,.75204614E-3,.1231E-4,0
FENGYUN 1C DEB,1999-025DF,2026-06-11T21:58:28.081920,14.09504030,.00136529,98.7127,182.0887,74.5463,43.3203,0,U,29813,999,99812,.71778139E-4,.83E-6,0
FENGYUN 1C DEB,1999-025DH,2026-06-11T23:42:32.360256,14.65287948,.01772437,98.0500,172.7583,283.6241,74.5279,0,U,29815,999,2504,.33005401E-3,.2184E-4,0
FENGYUN 1C DEB,1999-025DJ,2026-06-11T14:51:57.310848,14.46096478,.0233158,98.9742,38.2582,358.4682,53.9267,0,U,29816,999,799,.99559E-3,.4925E-4,0
FENGYUN 1C DEB,1999-025DK,2026-06-12T21:17:23.374176,14.14499781,.0011173,98.5716,150.6676,204.1009,216.6181,0,U,29817,999,99970,.26241E-3,.462E-5,0
FENGYUN 1C DEB,1999-025DL,2026-06-11T15:32:25.869696,14.04633537,.01133033,98.6988,37.7124,237.1314,189.4297,0,U,29818,999,99349,.12988012E-3,.177E-5,0
FENGYUN 1C DEB,1999-025DM,2026-06-12T04:49:28.256736,14.02404429,.01893809,98.7503,144.7372,279.5091,144.3339,0,U,29819,999,99163,.71020544E-4,.84E-6,0
FENGYUN 1C DEB,1999-025DN,2026-06-12T19:27:44.648352,14.02892102,.0074192,98.8301,170.4256,89.9542,83.3068,0,U,29820,999,99112,.25275E-3,.359E-5,0
FENGYUN 1C DEB,1999-025DP,2026-06-12T03:24:52.731072,14.11933994,.03711613,98.8469,221.3042,326.4430,84.9398,0,U,29821,999,99070,.25220177E-3,.829E-5,0
FENGYUN 1C DEB,1999-025DV,2026-06-12T05:38:53.032992,14.21951115,.00260292,98.6139,155.0766,151.5786,229.1902,0,U,29827,999,432,.23798611E-3,.484E-5,0
FENGYUN 1C DEB,1999-025DW,2026-06-12T19:42:10.523232,14.08653756,.0060568,98.7505,209.0633,4.2640,48.7049,0,U,29828,999,99300,.54738E-3,.915E-5,0
FENGYUN 1C DEB,1999-025EA,2026-06-12T19:25:15.854592,14.56951802,.0193298,98.8374,291.0250,87.8397,274.4919,0,U,29832,999,2906,.13444E-3,.717E-5,0
FENGYUN 1C DEB,1999-025EB,2026-06-12T00:26:36.063744,14.95628269,.00833525,99.0797,178.2884,36.7719,323.9175,0,U,29833,999,3277,.89123854E-3,.10549E-3,0
FENGYUN 1C DEB,1999-025ED,2026-06-12T21:08:52.508256,14.43521706,.0166332,99.0521,308.4430,216.4839,271.9195,0,U,29835,999,2120,.85323E-4,.283E-5,0
FENGYUN 1C DEB,1999-025EE,2026-06-12T06:06:10.469376,14.54949321,.01525937,98.1871,260.4120,1.6841,52.2870,0,U,29836,999,66194,.21922558E-3,.1049E-4,0
FENGYUN 1C DEB,1999-025EK,2026-06-11T20:14:39.555168,14.47055240,.01997124,98.8413,122.8059,149.5705,277.2037,0,U,29841,999,1939,.16408161E-3,.709E-5,0
FENGYUN 1C DEB,1999-025EL,2026-06-11T12:39:09.175392,14.62314632,.0103458,98.5640,261.4174,326.5597,53.5494,0,U,29842,999,1988,.52983E-3,.2831E-4,0
FENGYUN 1C DEB,1999-025EM,2026-06-12T02:21:08.065728,14.28863323,.01925918,99.0259,12.9833,125.0687,5.7306,0,U,29843,999,861,.12600444E-3,.337E-5,0
FENGYUN 1C DEB,1999-025EN,2026-06-11T16:26:33.872064,14.32556780,.01673613,98.9291,74.5131,359.2832,0.8087,0,U,29844,999,932,.42656133E-3,.13E-4,0
FENGYUN 1C DEB,1999-025EP,2026-06-12T19:09:49.034016,14.26893650,.0075537,98.5251,164.4648,319.7677,217.8920,0,U,29845,999,704,.31445E-3,.743E-5,0
