OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-06-12T06:31:54.963552,14.35147473,.00075305,86.3872,352.0211,358.6001,1.5173,0,U,24946,999,50438,.74305501E-4,.232E-5,0
IRIDIUM 33 DEB,1997-051L,2026-06-12T04:46:26.000256,14.43644012,.00089071,86.4009,343.6844,274.1681,85.8502,0,U,33773,999,90965,.2287164E-3,.796E-5,0
IRIDIUM 33 DEB,1997-051N,2026-06-12T05:24:52.724736,14.42013668,.00107277,86.3627,332.0539,284.7792,256.1556,0,U,33775,999,90755,.41680126E-3,.1387E-4,0
IRIDIUM 33 DEB,1997-051P,2026-06-11T23:10:42.642912,14.38535659,.00133136,86.4044,4.6427,330.9197,148.7208,0,U,33776,999,90687,.1753115E-3,.556E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-06-12T20:26:37.202208,14.56836512,.0007019,86.3771,315.9155,22.3782,337.7731,0,U,33777,999,91184,.85749E-3,.3862E-4,0
IRIDIUM 33 DEB,1997-051T,2026-06-12T19:46:48.840096,14.42676092,.0009188,86.3403,311.8664,291.7860,193.4653,0,U,33850,999,90777,.20398E-3,.698E-5,0
IRIDIUM 33 DEB,1997-051W,2026-06-12T19:41:52.520928,13.99850090,.0208647,85.9981,269.9072,38.4953,83.1470,0,U,33853,999,87892,.31426E-3,.575E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-06-12T03:44:20.891904,14.70171500,.00105853,86.3806,306.7411,82.1411,97.6388,0,U,33860,999,91385,.95741777E-3,.579E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-06-12T21:09:24.134112,14.73440001,.0049242,86.4074,316.9384,154.5928,325.3871,0,U,33862,999,91502,.1152E-2,.7645E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-06-12T01:41:19.732128,14.26302391,.01119139,86.3021,16.2492,299.7017,187.6975,0,U,33866,999,89394,.93790469E-3,.2421E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-06-12T18:39:17.055072,14.46789703,.0018694,86.3745,340.1833,300.9401,120.5069,0,U,33870,999,90768,.5208E-3,.1908E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-06-11T02:04:55.879968,14.61692672,.00537715,86.3851,27.9911,288.0212,195.5768,0,U,33881,999,90130,.16836545E-2,.8581E-4,0
IRIDIUM 33 DEB,1997-051BD,2026-06-12T18:51:56.677824,14.82857072,.0011172,86.3658,287.2593,45.8751,80.9209,0,U,33884,999,91540,.18709E-2,.15206E-3,0
