OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,25544,999,57107,.16106E-3,.8495E-4,0
POISK,2009-060A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,36086,999,57118,.16106E-3,.8495E-4,0
CSS (TIANHE),2021-035A,2026-06-12T19:37:30.079200,15.60618766,.0007968,41.4694,348.5894,41.6006,318.5438,0,U,48274,999,29248,.26094E-3,.21976E-3,0
ISS (NAUKA),2021-066A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,49044,999,57118,.16106E-3,.8495E-4,0
FREGAT DEB,2011-037PF,2026-05-31T03:34:47.166528,12.41880577,.09143791,51.6227,53.0895,245.3590,104.9405,0,U,49271,999,22293,.3099373E-1,.18955E-3,0
CSS (WENTIAN),2022-085A,2026-06-11T23:39:31.552704,15.60574522,.00081426,41.4694,353.6513,34.9117,325.2255,0,U,53239,999,28823,.16312716E-3,.13571E-3,0
CSS (MENGTIAN),2022-143A,2026-06-12T19:37:30.079200,15.60618766,.0007968,41.4694,348.5894,41.6006,318.5438,0,U,54216,999,29305,.26094E-3,.21976E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-06-12T02:54:33.672384,15.73254544,.00010296,51.6257,305.1831,248.1469,111.9420,0,U,66052,999,3720,.5384702E-3,.75944E-3,0
SZ-21 MODULE,2025-246C,2026-06-12T05:02:55.917024,15.75973730,.00069631,41.4744,338.3135,319.0725,40.9596,0,U,66515,999,3295,.30205628E-3,.48331E-3,0
SOYUZ-MS 28,2025-275A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,66664,999,57118,.16106E-3,.8495E-4,0
DUPLEX,1998-067XS,2026-06-11T16:18:35.566848,15.62186284,.00038016,51.6279,317.2774,181.7103,178.3879,0,U,66906,999,2979,.42608929E-3,.37867E-3,0
ISS OBJECT XY,1998-067XY,2026-06-12T02:14:11.955552,15.94183824,.00090947,51.6190,301.1342,300.6597,59.3513,0,U,66912,999,3003,.10431804E-2,.396721E-2,.72965568E-4
KNACKSAT-2,1998-067XZ,2026-06-11T17:05:46.405824,15.59478995,.00098455,51.6308,322.0071,191.1847,168.8928,0,U,67683,999,1942,.58268258E-3,.46941E-3,0
CORAL,1998-067YA,2026-06-12T02:57:32.981760,15.74747566,.00090508,51.6233,314.2098,224.4187,135.6087,0,U,67684,999,1956,.11643807E-2,.178481E-2,0
GXIBA-1,1998-067YB,2026-06-11T15:44:43.256544,15.60974393,.00110555,51.6289,321.6279,189.2620,170.8171,0,U,67685,999,1942,.64910206E-3,.55551E-3,0
UITMSAT-2,1998-067YC,2026-06-12T03:01:50.029536,15.64086603,.00064559,51.6276,318.0150,182.2718,177.8249,0,U,67686,999,1951,.79091873E-3,.76662E-3,0
LEOPARD,1998-067YD,2026-06-11T16:19:01.089408,15.60407815,.00071287,51.6314,321.7991,171.3184,188.7934,0,U,67687,999,1934,.60632784E-3,.50616E-3,0
HMU-SAT2,1998-067YE,2026-06-10T15:21:37.461024,15.62444427,.00069671,51.6298,326.1003,170.9243,189.1878,0,U,67688,999,1919,.62242512E-3,.56298E-3,0
CREW DRAGON 12,2026-031A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,67796,999,57118,.16106E-3,.8495E-4,0
PROGRESS-MS 33,2026-058A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,68319,999,57118,.16106E-3,.8495E-4,0
CYGNUS NG-24,2026-079A,2026-06-11T23:08:55.780800,15.49182446,.00049318,51.6334,325.9414,175.6343,184.4689,0,U,68689,999,57105,.15344347E-3,.8067E-4,0
PROGRESS-MS 34,2026-093A,2026-06-11T23:08:55.780800,15.49182446,.00049318,51.6334,325.9414,175.6343,184.4689,0,U,68837,999,57105,.15344347E-3,.8067E-4,0
TIANZHOU-10,2026-102A,2026-06-12T05:48:07.996608,15.60595776,.00072698,41.4683,352.0907,36.6266,323.5069,0,U,69049,999,504,.26889472E-3,.22632E-3,0
DRAGON CRS-34,2026-107A,2026-06-12T19:16:30.351648,15.49196054,.00049,51.6335,321.7912,178.5917,181.5086,0,U,69103,999,57118,.16106E-3,.8495E-4,0
SHENZHOU-23 (SZ-23),2026-113A,2026-06-11T23:39:31.552704,15.60574522,.00081426,41.4694,353.6513,34.9117,325.2255,0,U,69180,999,29257,.16312716E-3,.13571E-3,0
